Village,Water Body,Type,Date,
Astock,Ngarsanguem 1,Entiere,5/14/23,
Astock,Ngarsanguem 1,Barriere,9/5/23,
Astock,Ngarsanguem 2,Entiere,4/16/23,
Astock,Ngarsanguem 2,Entiere,7/10/23,
Astock,Ngarsanguem 2,Entiere,6/12/23,
Astock,Ngarsanguem 2,Entiere,3/20/23,
Astock,Ngarsanguem 2,Entiere,5/14/23,
Astock,Ngarsanguem 2,Barriere,9/14/23,
Astock,Ngarsanguem 3,Entiere,5/14/23,
Astock,Ngarsanguem 4,Section,5/14/23,
Astock,Ngarsanguem 5,Section,5/14/23,
Astock,Paul Nimre,Entiere,8/24/23,
Astock,Paul Nimre,Entiere,9/20/23,
Astock,Rimasngar N 1,Entiere,4/14/23,
Astock,Rimasngar N 1,Entiere,7/8/23,
Astock,Rimasngar N 1,Entiere,6/10/23,
Astock,Rimasngar N 1,Entiere,3/16/23,
Astock,Rimasngar N 1,,5/20/23,
Astock,Rimasngar N 1,Entiere,5/12/23,
Astock,Rimasngar N 2,Entiere,4/14/23,
Astock,Rimasngar N 2,Barriere,8/5/23,
Astock,Rimasngar N 2,Entiere,7/8/23,
Astock,Rimasngar N 2,Entiere,6/10/23,
Astock,Rimasngar N 2,Entiere,3/16/23,
Astock,Rimasngar N 2,,5/20/23,
Astock,Rimasngar N 2,Entiere,5/12/23,
Astock,Rimasngar N 2,Barriere,9/2/23,
Astock,Rimasngar N 3,Entiere,4/14/23,
Astock,Rimasngar N 3,Entiere,7/8/23,
Astock,Rimasngar N 3,Entiere,6/10/23,
Astock,Rimasngar N 3,Entiere,3/16/23,
Astock,Rimasngar N 3,,5/20/23,
Astock,Rimasngar N 4,Entiere,4/14/23,
Astock,Rimasngar N 4,Entiere,7/8/23,
Astock,Rimasngar N 4,Entiere,6/10/23,
Astock,Rimasngar N 4,Entiere,3/16/23,
Astock,Rimasngar N 4,,5/20/23,
Astock,Rimasngar N 5,Entiere,4/11/23,
Astock,Rimasngar N 5,Entiere,7/2/23,
Astock,Rimasngar N 5,Entiere,6/5/23,
Astock,Rimasngar N 5,,5/20/23,
Astock,Rimasngar N 5,Entiere,5/8/23,
Astock,Rimasngar N 6,Entiere,7/2/23,
Astock,Rimasngar N 6,Entiere,6/5/23,
Astock,Rimasngar N 6,,5/21/23,
Astock,Rimasngar N 6,Entiere,5/8/23,
Astock,Rimasngar N 7,Barriere,8/1/23,
Astock,Rimasngar N 7,Entiere,7/2/23,
Astock,Rimasngar N 7,Barriere,9/1/23,
Diamra,Abrakeou 1,Barriere,8/24/23,
Diamra,Abrakeou 1,Barriere,9/21/23,
Diamra,Abrakeou 2,Barriere,8/24/23,
Diamra,Abrakeou 2,Barriere,9/21/23,
Diamra,Abrakeou 3,Entiere,4/17/23,
Diamra,Abrakeou 3,Entiere,6/8/23,
Diamra,Abrakeou 4,Entiere,4/17/23,
Diamra,Abrakeou 4,Entiere,3/22/23,
Diamra,Abrakeou 5,Entiere,4/17/23,
Diamra,Abrakeou 5,Entiere,3/22/23,
Diamra,Abrakeou 5,Entiere,5/12/23,
Diamra,Abrakeou 6,Entiere,4/19/23,
Diamra,Abrakeou 6,Entiere,5/12/23,
Diamra,Abrakeou 7,Entiere,4/19/23,
Diamra,Bongram 1,Entiere,4/19/23,
Diamra,Bongram 1,Section,6/10/23,
Diamra,Bongram 1,Entiere,3/25/23,
Diamra,Bongram 1 S2,Entiere,4/19/23,
Diamra,Bongram 1 S2,Section,6/10/23,
Diamra,Bongram 1 S3,Section,6/10/23,
Diamra,Djanie 1,Entiere,4/19/23,
Diamra,Djanie 1,Entiere,6/10/23,
Diamra,Djanie 1,Entiere,3/25/23,
Diamra,Maskemngar 1,Barriere,8/21/23,
Diamra,Maskemngar 1,Barriere,9/18/23,
Diamra,Maskemngar 2,Barriere,8/21/23,
Diamra,Maskemngar 2,Barriere,9/18/23,
Diamra,Mbang adingar,Barriere,9/21/23,
Diamra,Mismongar 1,Barriere,9/25/23,
Diamra,Nerangar 1,Entiere,4/16/23,
Diamra,Nerangar 1,Entiere,6/8/23,
Diamra,Nerangar 1,Entiere,3/20/23,
Diamra,Nerangar 10,Entiere,5/12/23,
Diamra,Nerangar 2,Entiere,4/17/23,
Diamra,Nerangar 3,Entiere,4/17/23,
Diamra,Nerangar 3,Entiere,3/22/23,
Diamra,Nerangar 4,Entiere,4/17/23,
Diamra,Nerangar 4,Entiere,6/10/23,
Diamra,Nerangar 4,Entiere,3/22/23,
Diamra,Nerangar 4,Entiere,5/12/23,
Diamra,Nerangar 5,Entiere,4/17/23,
Diamra,Nerangar 5,Entiere,3/22/23,
Diamra,Nerangar 5,Entiere,5/12/23,
Diamra,Nerangar 6,Entiere,4/17/23,
Diamra,Nerangar 6,Entiere,6/10/23,
Diamra,Nerangar 6,Entiere,3/22/23,
Diamra,Nerangar 6,Entiere,5/12/23,
Diamra,Nerangar 7,Entiere,4/17/23,
Diamra,Nerangar 7,Entiere,5/12/23,
Diamra,Nerangar 8,Entiere,5/12/23,
Diamra,Nerangar 9,Entiere,5/12/23,
Diamra,Ngarg Wala 1,Entiere,4/16/23,
Diamra,Ngarg Wala 1,Barriere,8/21/23,
Diamra,Ngarg Wala 1,Entiere,6/8/23,
Diamra,Ngarg Wala 1,Entiere,3/20/23,
Diamra,Ngarg Wala 1,Barriere,9/18/23,
Diamra,Ngarg Wala 2,Entiere,4/16/23,
Diamra,Ngarg Wala 2,Barriere,8/24/23,
Diamra,Ngarg Wala 2,Entiere,3/20/23,
Diamra,Ngarg Wala 2,Barriere,9/21/23,
Diamra,Ngarg Wala 3,Entiere,4/16/23,
Diamra,Ngarg Wala 3,Entiere,6/8/23,
Diamra,Ngarg Wala 3,Entiere,3/20/23,
Diamra,Ngarg Wala 4,Entiere,4/16/23,
Diamra,Ngarg Wala 4,Entiere,6/8/23,
Diamra,Ngarg Wala 4,Entiere,3/20/23,
Diamra,Ngarg Wala 4,Entiere,5/11/23,
Diamra,Ngarg Wala 5,Entiere,4/16/23,
Diamra,Ngarg Wala 5,Entiere,6/8/23,
Diamra,Ngarg Wala 5,Entiere,5/11/23,
Diamra,Ngarg Wala 6,Entiere,6/8/23,
Diamra,Ngarg Wala 6,Entiere,5/11/23,
Diamra,Ngarg Wala 7,Entiere,5/11/23,
Diamra,Ngarlembaye 1,Barriere,9/25/23,
Kolong,Golong Foudour,Entiere,6/21/23,
Kolong,Golong Foudour,Entiere,5/23/23,
Kolong,Golonmander 1,Entiere,4/25/23,
Kolong,Golonmander 1,Entiere,6/21/23,
Kolong,Golonmander 1,Entiere,3/28/23,
Kolong,Golonmander 1,Entiere,5/23/23,
Kolong,Golonmander 2,Entiere,4/25/23,
Kolong,Golonmander 2,Entiere,3/28/23,
Kolong,Kama-Kama 1,Barriere,4/15/23,
Kolong,Kama-Kama 1,Entiere,6/17/23,
Kolong,Kama-Kama 1,,3/7/23,
Kolong,Kama-Kama 1,Entiere,5/19/23,
Kolong,Kama-Kama 2,Entiere,4/15/23,
Kolong,Kama-Kama 2,Entiere,6/17/23,
Kolong,Kama-Kama 2,Entiere,5/19/23,
Kolong,Matchoroko 1,Entiere,4/25/23,
Kolong,Matchoroko 1,Entiere,3/28/23,
Kolong,Matchoroko 2,Entiere,4/25/23,
Kolong,Matchoroko 2,Entiere,6/21/23,
Kolong,Matchoroko 2,Entiere,3/28/23,
Kolong,Matchoroko 2,Entiere,5/23/23,
Mirou Sara,Batrang 1,Entiere,6/4/23,
Mirou Sara,Batrang 1,Entiere,5/6/23,
Mirou Sara,Batrang 2,Entiere,6/4/23,
Mirou Sara,Batrang 2,Entiere,5/6/23,
Mirou Sara,Boitrousse 1,Entiere,4/17/23,
Mirou Sara,Boitrousse 2,Entiere,6/17/23,
Mirou Sara,Boitrousse 2,Entiere,5/19/23,
Mirou Sara,Dangai 1,Entiere,6/17/23,
Mirou Sara,Dangai 1,Entiere,5/19/23,
Mirou Sara,Djimodongar 1,Entiere,4/26/23,
Mirou Sara,Djimodongar 1,Entiere,6/17/23,
Mirou Sara,Djimodongar 1,Entiere,3/29/23,
Mirou Sara,Djimodongar 1,Entiere,5/19/23,
Mirou Sara,Donglon 1,Entiere,4/12/23,
Mirou Sara,Donglon 1,Entiere,6/8/23,
Mirou Sara,Francois 1,Entiere,4/12/23,
Mirou Sara,Francois 1,Entiere,6/8/23,
Mirou Sara,Francois 1,Entiere,5/10/23,
Mirou Sara,Francois 2,Entiere,4/17/23,
Mirou Sara,Francois 2,Entiere,6/12/23,
Mirou Sara,Francois 2,Entiere,5/13/23,
Mirou Sara,Kablang 1,Entiere,4/12/23,
Mirou Sara,Kablang 1,Entiere,6/8/23,
Mirou Sara,Kablang 1,Entiere,5/10/23,
Mirou Sara,Memndigngar 1,Entiere,6/26/23,
Mirou Sara,Memndigngar 2,Entiere,6/26/23,
Mirou Sara,Memndigngar 3,Entiere,6/26/23,
Mirou Sara,Ongar 1,Entiere,4/26/23,
Mirou Sara,Ongar 1,Entiere,6/17/23,
Mirou Sara,Ongar 1,Barriere,3/29/23,
Mirou Sara,Ongar 1,Entiere,5/19/23,
Mirou Sara,Ongar 2,Entiere,4/26/23,
Mirou Sara,Ongar 2,Entiere,3/29/23,
Mirou Sara,Ongar 3,Entiere,4/9/23,
Mirou Sara,Ongar 3,Entiere,6/4/23,
Mirou Sara,Ongar 3,Entiere,5/6/23,
Mirou Sara,Ongar 4,Entiere,4/9/23,
Mirou Sara,Ongar 4,Entiere,6/4/23,
Mirou Sara,Ongar 4,Entiere,5/6/23,
Mirou Sara,Ongar 5,Entiere,4/9/23,
Ngara Boulala,Boulama Djibrine S1,Section,6/19/23,
Ngara Boulala,Boulama Djibrine S2,Section,6/19/23,
Ngara Jerusalem,Behordji 1,Section,6/19/23,
Ngara Jerusalem,Behordji 2,Section,6/19/23,
Ngara Jerusalem,Boulama Basse 1,Section,6/24/23,
Ngara Jerusalem,Boulama Basse 2,Section,6/24/23,
Ngara Jerusalem,Boulama Basse 3,Entiere,6/24/23,
Balimba 1,Bapteme 1,,2/14/23,
Balimba 1,Bapteme 1,Entier,7/12/23,
Balimba 1,Bapteme 1,Entiere,6/20/23,
Balimba 1,Bapteme 2,,2/14/23,
Balimba 1,Bapteme 2,Entier,7/12/23,
Balimba 1,Bapteme 2,Entiere,6/20/23,
Balimba 1,Bapteme 3,,2/14/23,
Balimba 1,Bapteme 3,Entiere,6/20/23,
Balimba 1,Bapteme 4,Entiere,4/11/23,
Balimba 1,Bapteme 4,Entiere,6/25/23,
Balimba 1,Bapteme 5,Entiere,4/11/23,
Balimba 1,Bapteme 5,Entiere,6/25/23,
Balimba 1,Bapteme 6,Entiere,4/11/23,
Balimba 1,Bapteme 6,Entiere,6/25/23,
Balimba 1,Bapteme 7,Entiere,4/19/23,
Balimba 1,Bapteme 8,Section,5/27/23,
Balimba 1,Bapteme A3S1,Section,5/23/23,
Balimba 1,Bapteme A3S2,Section,5/23/23,
Balimba 1,Barh Koh,Entier,7/1/23,
Balimba 1,Barh Koh,Entiere,6/3/23,
Balimba 1,Barh Koh,Entiere,5/6/23,
Balimba 1,Bayabe 1,Entiere,6/14/23,
Balimba 1,Bayabe 2,Entiere,6/14/23,
Balimba 1,Dague,entier,8/9/23,
Balimba 1,Dague,Entier,7/10/23,
Balimba 1,Dague,entiere,9/9/23,
Balimba 1,Dague 2,entier,8/16/23,
Balimba 1,Dague 2,entiere,9/16/23,
Balimba 1,Dague 3,entiere,9/23/23,
Balimba 1,Doroum,Entier,7/5/23,
Balimba 1,Gote Djakede 1,entier,8/3/23,
Balimba 1,Gote Djakede 2,entier,8/3/23,
Balimba 1,Jerusalem A1,Section,6/6/23,
Balimba 1,Jerusalem A1,Entiere,5/9/23,
Balimba 1,Jerusalem A2,Entiere,5/9/23,
Balimba 1,Jerusalem B S1,Section,6/6/23,
Balimba 1,Jerusalem B S1,Section,5/9/23,
Balimba 1,Jerusalem B S2,Section,5/9/23,
Balimba 1,Kho/M,Entiere,4/8/23,
Balimba 1,Massa S1,Section,5/28/23,
Balimba 1,Massa S2,Section,5/28/23,
Balimba 1,Parc 1,Entiere,4/30/23,
Balimba 1,Parc 2,Entiere,4/30/23,
Balimba 1,Parc 3,Entiere,4/30/23,
Mandikaga,Dangkoh,Entiere,5/30/23,
Mandikaga,Gagoh,,5/3/23,
Mandikaga,Gokoh 1,Entiere,4/5/23,
Mandikaga,Gokoh 1,Entiere,6/18/23,
Mandikaga,Gokoh 1,,5/30/23,
Mandikaga,Gokoh 1,Entiere,5/3/23,
Mandikaga,Gokoh 2,Entiere,4/5/23,
Mandikaga,Gokoh 2,,6/7/23,
Mandikaga,Gokoh 2,,5/9/23,
Mandikaga,Gokoh 2,Entiere,5/3/23,
Mandikaga,Gokoh 3,,6/7/23,
Mandikaga,Gokoh 3,,5/9/23,
Mandikaga,Gokoh 4,,5/29/23,
Mandikaga,Gokoh 5,,5/29/23,
Mandikaga,Gokoh 6,,6/11/23,
Mandikaga,Gokoh 7,,6/11/23,
Mandikaga,Ndegne 1,Entiere,4/18/23,
Mandikaga,Ndegne 1,Entiere,6/13/23,
Mandikaga,Ndegne 1,Entiere,3/21/23,
Mandikaga,Ndegne 1,Entiere,5/16/23,
Mandikaga,Ndegne 2,Entiere,4/18/23,
Mandikaga,Ndegne 2,Entiere,5/16/23,
Mandikaga,Ngocro 1,Entiere,6/1/23,
Mandikaga,Ngocro 2,Entiere,6/1/23,
Mandikaga,Nguirndoh,Entiere,4/12/23,
Mandikaga,Nguirndoh,Entiere,6/7/23,
Mandikaga,Nguirndoh,Entiere,5/10/23,
Mandikaga,Ningonolo,Entiere,5/21/23,
Mandikaga,Tougougoro,Entiere,6/22/23,
Mandikaga,Tougougoro,,3/31/23,
Ngakedje,Boul Ta 1,,4/26/23,
Ngakedje,Boul Ta 1,Entiere,4/10/23,
Ngakedje,Boul Ta 2,,8/8/23,
Ngakedje,Boul Ta 1,,8/16/23,
Ngakedje,Boul Ta 1,entier,8/14/23,
Ngakedje,Boul Ta 1,,2/13/23,
Ngakedje,Boul Ta 1,,1/17/23,
Ngakedje,Boul Ta 1,,7/19/23,
Ngakedje,Boul Ta 1,Entier,7/3/23,
Ngakedje,Boul Ta 1,Entier,7/31/23,
Ngakedje,Boul Ta 1,,6/21/23,
Ngakedje,Boul Ta 1,Entiere,6/5/23,
Ngakedje,Boul Ta 1,,3/29/23,
Ngakedje,Boul Ta 1,,5/24/23,
Ngakedje,Boul Ta 1,Entiere,5/8/23,
Ngakedje,Boul Ta 2,,4/10/23,
Ngakedje,Boul Ta 2,entier,8/19/23,
Ngakedje,Boul Ta 2,,2/13/23,
Ngakedje,Boul Ta 2,,7/10/23,
Ngakedje,Boul Ta 2,Entier,7/22/23,
Ngakedje,Boul Ta 2,,6/12/23,
Ngakedje,Boul Ta 2,Entiere,6/24/23,
Ngakedje,Boul Ta 2,,5/7/23,
Ngakedje,Boul Ta 3,,4/23/23,
Ngakedje,Boul Ta 3,Entiere,4/24/23,
Ngakedje,Boul Ta 3,,7/17/23,
Ngakedje,Boul Ta 3,Entier,7/17/23,
Ngakedje,Boul Ta 3,,6/18/23,
Ngakedje,Boul Ta 3,Entiere,6/19/23,
Ngakedje,Boul Ta 3,,5/21/23,
Ngakedje,Boul Ta 3,Entiere,5/22/23,
Ngakedje,Boulko,Entiere,5/14/23,
Ngakedje,Boul-Koh 3,Entiere,9/30/23,
Ngakedje,Boul-Koh1,Entiere,9/16/23,
Ngakedje,Boul-Koh2,Entiere,9/23/23,
Ngakedje,Kohiwan 1,Entiere,4/15/23,
Ngakedje,Kohiwan 1,entier,8/5/23,
Ngakedje,Kohiwan 1,Entier,7/8/23,
Ngakedje,Kohiwan 1,Entiere,6/10/23,
Ngakedje,Kohiwan 1,Entiere,5/13/23,
Ngakedje,Kohiwan 2,Entiere,5/15/23,
Ngakedje,Kollo 1,Entiere,4/17/23,
Ngakedje,Kollo 1,Entiere,5/15/23,
Ngakedje,Ndang-Mbad,Entiere,9/11/23,
Tando,Avocat 2,Entiere,4/16/23,
Tando,Avocat 2,Section,7/20/23,
Tando,Avocat 2,Entiere,6/24/23,
Tando,Beta,Barriere,4/29/23,
Tando,Beta,Section,6/25/23,
Tando,Beta,Section,5/27/23,
Tando,Daba,section,8/17/23,
Tando,Daba,section,9/19/23,
Tando,Daba s2,section,9/26/23,
Tando,Dokaga,section,8/7/23,
Tando,Dokaga,Entier,7/10/23,
Tando,Dokaga,Entiere,6/12/23,
Tando,Dokaga,Entiere,5/15/23,
Tando,Dokaga,section,9/14/23,
Tando,Gokoh 1,,5/24/23,
Tando,Mairingue 1,Entiere,4/9/23,
Tando,Mairingue 1,section,8/13/23,
Tando,Mairingue 1,Entier,7/2/23,
Tando,Mairingue 1,Section,6/4/23,
Tando,Mairingue 1,Entiere,5/7/23,
Tando,Mairingue 1 S2,section,8/22/23,
Tando,Mairingue 1 S2,Section,6/4/23,
Tando,Mairingue 1 S3,Section,7/16/23,
Tando,Mairingue 1 S3,Section,6/18/23,
Tando,Mairingue 1 S3,Section,9/10/23,
Tando,Mairingue 1 S4,Section,6/18/23,
Tando,Massa,Barriere,4/23/23,
Tando,Massa ,Section,5/21/23,
Tando,Massa 2,Section,5/28/23,
Tando,Massa 3,Section,5/28/23,
Dokassi,Carriere 1,Entiere,6/27/23,
Dokassi,Carriere 2,Entiere,6/27/23,
Dokassi,Carriere 3,Entiere,6/19/23,
Dokassi,Guidee P1,Barriere,6/5/23,
Dokassi,Guidee P1,Barriere,5/8/23,
Dokassi,Kanitamgue P1,Barriere,5/22/23,
Dokassi,Waa P1,Entiere,6/14/23,
Dokassi,Waa P1,Barriere,5/17/23,
Reni,Barh Sara 1,Entiere,4/8/23,
Reni,Barh Sara 1,entier,7/1/23,
Reni,Barh Sara 1,Entiere,6/3/23,
Reni,Barh Sara 1,Entiere,5/6/23,
Reni,Barh Sara 10,Entiere,4/29/23,
Reni,Barh Sara 2,Entiere,4/8/23,
Reni,Barh Sara 2,Entiere,6/3/23,
Reni,Barh Sara 3,Entiere,4/8/23,
Reni,Barh Sara 3,Entiere,5/6/23,
Reni,Barh Sara 4,Entiere,4/12/23,
Reni,Barh Sara 4,Entiere,6/6/23,
Reni,Barh Sara 4,Entiere,5/10/23,
Reni,Barh Sara 5 S1,Entiere,4/12/23,
Reni,Barh Sara 5 S1,Entiere,6/6/23,
Reni,Barh Sara 5 S1,Entiere,5/10/23,
Reni,Barh Sara 5 S2,Entiere,5/10/23,
Reni,Barh Sara 6,Entiere,4/17/23,
Reni,Barh Sara 6,Entiere,6/12/23,
Reni,Barh Sara 6,Entiere,5/15/23,
Reni,Barh Sara 7,Entiere,4/17/23,
Reni,Barh Sara 8,Entiere,4/21/23,
Reni,Barh Sara 8,Entiere,5/19/23,
Reni,Barh Sara 9,Entiere,4/26/23,
Reni,Barh Sara 9,Entiere,5/19/23,
Reni,"Carriere ""Courage""",Entiere,2/8/23,
Reni,"Carriere ""Courage""",,1/30/23,
Reni,"Carriere ""Courage""",Entiere,6/15/23,
Reni,"Carriere ""Courage""",,3/1/23,
Reni,Carriere courage 2,Entiere,6/15/23,
Reni,Carriere de Mainde,,1/11/23,
Reni,Dang Brique,Entiere,2/19/23,
Reni,Dang Brique,Barriere,6/15/23,
Reni,Dang Brique,Entiere,3/19/23,
Reni,Dang Djaibaye,Entiere,6/30/23,
Reni,Dang Koboro 1,Entiere,6/12/23,
Reni,Dang Simon,Entiere,6/6/23,
Reni,Dangue Pascal 1,Entiere,6/21/23,
Reni,Dangue Pascal 2,Entiere,6/21/23,
Reni,Dangue Pascal 2,,5/31/23,
Reni,Dangue Pascal 3,Entiere,6/21/23,
Reni,Dangue Pascal 3,,5/31/23,
Reni,Dangue Pascal 4,Entiere,6/21/23,
Reni,Dangue Pascal 5,entier,7/3/23,
Reni,Dangue Pascal 6,entier,7/3/23,
Reni,Dig Kile,Entiere,3/7/23,
Reni,Goi 1,Entiere,6/24/23,
Reni,Goi 1,Entiere,5/27/23,
Reni,Kadimi,Barriere,6/18/23,
Reni,Kadoume,Entiere,3/14/23,
Reni,Man Simon,Entiere,6/24/23,
Reni,Man Simon,Entiere,5/27/23,
Reni,Ngaryabang,Entiere,6/14/23,
Reni,Toguinan 1,Entiere,6/20/23,
Reni,Toguinan 2,Entiere,6/20/23,
Mbaimandja,Banc de Sable 1,Entiere,4/19/23,
Mbaimandja,Banc de Sable 1,,2/27/23,
Mbaimandja,Banc de Sable 1,Entiere,3/25/23,
Mbaimandja,Banc de Sable 10,Entiere,4/19/23,
Mbaimandja,Banc de Sable 10,Entiere,3/25/23,
Mbaimandja,Banc de Sable 11,Entiere,4/19/23,
Mbaimandja,Banc de Sable 11,Entiere,3/25/23,
Mbaimandja,Banc de Sable 12,Entiere,4/19/23,
Mbaimandja,Banc de Sable 12,Entiere,3/25/23,
Mbaimandja,Banc de Sable 13,Entiere,4/20/23,
Mbaimandja,Banc de Sable 13,Entiere,3/25/23,
Mbaimandja,Banc de Sable 14,Entiere,4/20/23,
Mbaimandja,Banc de Sable 14,Entiere,3/26/23,
Mbaimandja,Banc de Sable 15,Entiere,4/20/23,
Mbaimandja,Banc de Sable 15,Entiere,3/26/23,
Mbaimandja,Banc de Sable 16 SA,Entiere,3/26/23,
Mbaimandja,Banc de Sable 16 SB,Entiere,3/26/23,
Mbaimandja,Banc de Sable 17,Entiere,4/20/23,
Mbaimandja,Banc de Sable 18,Entiere,4/20/23,
Mbaimandja,Banc de Sable 19,Entiere,4/20/23,
Mbaimandja,Banc de Sable 2,,2/27/23,
Mbaimandja,Banc de Sable 2,Entiere,3/25/23,
Mbaimandja,Banc de Sable 20,Entiere,4/20/23,
Mbaimandja,Banc de Sable 3,,2/27/23,
Mbaimandja,Banc de Sable 3,Entiere,3/25/23,
Mbaimandja,Banc de Sable 4,,2/27/23,
Mbaimandja,Banc de Sable 4,Entiere,3/25/23,
Mbaimandja,Banc de Sable 5,,2/27/23,
Mbaimandja,Banc de Sable 6,,2/27/23,
Mbaimandja,Banc de Sable 7,Entiere,4/19/23,
Mbaimandja,Banc de Sable 7,,2/27/23,
Mbaimandja,Banc de Sable 8,,2/27/23,
Mbaimandja,Banc de Sable 8,Entiere,3/25/23,
Mbaimandja,Banc de Sable 9,Entiere,4/19/23,
Mbaimandja,Banc de Sable 9,Entiere,3/25/23,
Mbaimandja,Banc de Sable Puit,Entiere,4/20/23,
Mbaimandja,Banc de Sable Souman,Entiere,4/19/23,
Mbaimandja,Banc de Sable Souman,,2/28/23,
Mbaimandja,Banc de Sable Souman,Entiere,3/25/23,
Banda,Barh Koh S1,Section,4/8/23,
Banda,Barh Koh S1,Barriere,6/3/23,
Banda,Barh Koh S1,Barriere,3/15/23,
Banda,Barh Koh S2,Section,4/8/23,
Banda,Barh Koh S2,Barriere,6/3/23,
Banda,Barh Koh S2,Barriere,3/15/23,
Banda,Barh Koh S3,Section,4/8/23,
Banda,Barh Koh S3,Barriere,6/3/23,
Banda,Barh Koh S3,Barriere,3/15/23,
Banda,Barh Koh S4,Section,4/9/23,
Banda,Barh Koh S4,Barriere,6/3/23,
Banda,Ngonmina,Entiere,4/8/23,
Banda,Point d'entree 1,Barriere,4/9/23,
Banda,Point d'entree 1,,2/19/23,
Banda,Point d'entree 1,Barriere,6/3/23,
Banda,Point d'entree 1,Barriere,20-sept.-19,
Banda,Point d'entree 2,,2/19/23,
Banda,Point d'entree 2,Barriere,20-sept.-19,
Banda,Point d'entree 3,,2/20/23,
Banda,Point d'entree 4,,2/20/23,
Kemkian,Alladoumndo 1,,1/17/23,
Kemkian,Alladoumndo 1,entier,7/1/23,
Kemkian,Alladoumndo 2,,1/17/23,
Kemkian,Alladoumndo 2,entier,7/1/23,
Kemkian,Alladoumndo 3 A,,2/12/23,
Kemkian,Alladoumndo 3 A,,1/17/23,
Kemkian,Alladoumndo 3 A,entier,7/1/23,
Kemkian,Alladoumndo 3 B,,2/12/23,
Kemkian,Alladoumndo 3 B,,1/17/23,
Kemkian,Alladoumndo 4,,1/17/23,
Kemkian,Alladoumndo 4,entier,7/2/23,
Kemkian,Alladoumndo 5,,2/12/23,
Kemkian,Alladoumndo 5,entier,7/2/23,
Kemkian,Alladoumndo A1,entier,7/2/23,
Kemkian,Alladoumndo Puit,,1/17/23,
Kemkian,Bangui,Barriere,4/9/23,
Kemkian,Bangui,Barriere,7/1/23,
Kemkian,Bangui,Barriere,6/4/23,
Kemkian,Bangui 1,Barriere,8/23/23,
Kemkian,Bangui 1,Barriere,3/14/23,
Kemkian,Bangui 1,Barriere,9/20/23,
Kemkian,Bangui 2,Barriere,4/9/23,
Kemkian,Bangui 2,Barriere,8/23/23,
Kemkian,Bangui 2,Barriere,7/1/23,
Kemkian,Bangui 2,Barriere,6/4/23,
Kemkian,Bangui 2,Barriere,9/20/23,
Kemkian,Barh Koh S1,Section,4/6/23,
Kemkian,Barh Koh S2,Section,4/6/23,
Kemkian,Barh Koh S3,Section,4/6/23,
Kemkian,Barh Koh S4,Section,4/6/23,
Kemkian,Blomane 1 (puit),,4/12/23,
Kemkian,Blomane 1 (puit),,8/23/23,
Kemkian,Blomane 1 (puit),,12/10/23,
Kemkian,Blomane 1 (puit),,7/27/23,
Kemkian,Blomane 1 (puit),,6/30/23,
Kemkian,Blomane 1 (puit),,3/16/23,
Kemkian,Blomane 1 (puit),,5/9/23,
Kemkian,Blomane 1 (puit),,11/13/23,
Kemkian,Blomane 1 (puit),,9/19/23,
Kemkian,Blomane 2 (puit),,4/12/23,
Kemkian,Blomane 2 (puit),,8/23/23,
Kemkian,Blomane 2 (puit),,12/10/23,
Kemkian,Blomane 2 (puit),,1/7/23,
Kemkian,Blomane 2 (puit),,7/27/23,
Kemkian,Blomane 2 (puit),,6/30/23,
Kemkian,Blomane 2 (puit),,3/16/23,
Kemkian,Blomane 2 (puit),,9/19/23,
Kemkian,Demo,,2/15/23,
Kemkian,Djimhornadji A,Section,4/6/23,
Kemkian,Djimhornadji B,Section,4/6/23,
Kemkian,Djimhornadji C,Section,4/6/23,
Kemkian,Djiraibaye 1,,2/12/23,
Kemkian,Djiraibaye 1,entier,7/3/23,
Kemkian,Djiraibaye 1,Entier,6/4/23,
Kemkian,Djiraibaye 2,Entier,6/4/23,
Kemkian,Djiraibaye 3,Entier,6/4/23,
Kemkian,Djiraiknan,Section,4/6/23,
Kemkian,Djiraiknan,Barriere,6/5/23,
Kemkian,Dougoune (puit) 1,,8/23/23,
Kemkian,Dougoune (puit) 1,,7/27/23,
Kemkian,Dougoune (puit) 1,,6/30/23,
Kemkian,Dougoune (puit) 1,,11/13/23,
Kemkian,Dougoune (puit) 1,,10/17/23,
Kemkian,Dougoune (puit) 1,,9/19/23,
Kemkian,Dougoune (puit) 2,,8/23/23,
Kemkian,Dougoune (puit) 2,,7/27/23,
Kemkian,Dougoune (puit) 2,,6/30/23,
Kemkian,Dougoune (puit) 2,,9/19/23,
Kemkian,Dougoune (puit) 3,,8/23/23,
Kemkian,Dougoune (puit) 3,,7/27/23,
Kemkian,Dougoune (puit) 3,,6/30/23,
Kemkian,Dougoune (puit) 3,,11/13/23,
Kemkian,Dougoune (puit) 3,,9/19/23,
Kemkian,Dougoune 1,,8/23/23,
Kemkian,Dougoune 1,,7/27/23,
Kemkian,Dougoune 1,,6/30/23,
Kemkian,Dougoune 1,,10/17/23,
Kemkian,Dougoune 1,,9/19/23,
Kemkian,Dougoune 2,,8/23/23,
Kemkian,Dougoune 2,,7/27/23,
Kemkian,Dougoune 2,,6/30/23,
Kemkian,Dougoune 2,,11/13/23,
Kemkian,Eau de Pluie,Entiere,9/23/23,
Kemkian,Kaminara 1,,2/12/23,
Kemkian,Kaminara 1,Entier,7/27/23,
